instance,best c_max,avg c_max,avg time
in06_164.dat,8878,8890.2,11.27
in06_165.dat,8126,8138.7,11.55
in06_166.dat,8655,8663.4,10.85
in06_167.dat,8437,8447.1,10.39
in06_168.dat,8528,8537.8,11.36
in06_169.dat,8158,8165.7,11.55
in06_170.dat,8868,8890,11.89
in06_171.dat,8080,8096.5,10.58
in06_172.dat,7600,7613.3,11.61
in06_173.dat,7696,7707.9,11.84
in06_174.dat,8083,8098.7,10.27
in06_175.dat,7761,7771.3,10.75
in06_176.dat,7890,7908.2,11.2
in06_177.dat,8478,8486.2,10.84
in06_178.dat,7711,7719.7,11.13
in06_179.dat,7893,7906.6,11.76
in06_180.dat,7917,7924.4,11.07
in06_181.dat,11032,11041.3,22.05
in06_182.dat,11185,11199.3,22.39
in06_183.dat,10397,10405,21.42
in06_184.dat,11599,11605.3,22.72
in06_185.dat,10311,10316.6,21.66
in06_186.dat,10896,10906.5,21.24
in06_187.dat,11090,11107.9,23.16
in06_188.dat,10627,10639.5,22.75
in06_189.dat,10090,10107.1,21.6
in06_190.dat,10064,10077.6,21.82
in06_191.dat,11130,11142.8,23.78
in06_192.dat,10788,10821.3,22.75
in06_193.dat,9373,9388.5,21.67
in06_194.dat,11311,11325.7,19.74
in06_195.dat,10815,10827.2,22.06
in06_196.dat,11093,11110.7,22.11
in06_197.dat,10709,10721.5,21.62
in06_198.dat,11973,11989.4,20.16
in06_199.dat,11331,11341.3,23.19
in06_200.dat,10077,10101.2,21.37
in06_201.dat,11778,11795.1,22.17
in06_202.dat,10930,10940.9,22.03
in06_203.dat,11349,11357,21.77
in06_204.dat,10122,10147.9,22.3
in06_205.dat,10698,10711.8,23.14
in06_206.dat,9448,9454.6,23.33
in06_207.dat,10108,10121.1,21.93
in06_208.dat,11190,11206.6,23.72
in06_209.dat,10261,10269.9,20.9
in06_210.dat,9488,9507.9,25.12
in06_211.dat,11574,11588.6,23.29
in06_212.dat,11387,11404,24.47
in06_213.dat,10617,10630.6,21.97
in06_214.dat,11500,11521.2,23.15
in06_215.dat,10424,10441.7,23.12
in06_216.dat,10546,10559.3,23.39
in06_217.dat,10597,10604.5,23.38
in06_218.dat,10694,10703.8,21.41
in06_219.dat,10416,10433.6,23.33
in06_220.dat,9953,9968.5,22.33
in06_221.dat,10847,10858.4,22.95
in06_222.dat,10852,10873.5,22.09
in06_223.dat,11259,11284.8,21.84
in06_224.dat,10422,10434.8,22.5
in06_225.dat,10773,10784.9,22.75
in06_226.dat,11456,11462.6,20.96
in06_227.dat,9244,9262.4,22.64
in06_228.dat,11332,11346.4,24.38
in06_229.dat,10003,10011.3,21.07
in06_230.dat,10022,10034.8,22.07
in06_231.dat,10135,10156.1,22.96
in06_232.dat,10687,10706.4,23.78
in06_233.dat,10435,10448.4,23.45
in06_234.dat,10088,10108,21.72
in06_235.dat,9739,9749.8,23.4
in06_236.dat,10496,10508.2,22.7
in06_237.dat,11199,11209.7,22.99
in06_238.dat,10499,10510.7,22.62
in06_239.dat,10194,10216.3,22.56
in06_240.dat,10628,10639.1,21.03
in06_241.dat,12726,12742.1,36.36
in06_242.dat,13694,13702.9,40.97
in06_243.dat,12703,12722.8,42.65
in06_244.dat,14546,14578.2,38.49
in06_245.dat,12805,12835.4,38.12
in06_246.dat,12935,12951,39.44
in06_247.dat,12952,12963.2,36.21
in06_248.dat,14062,14085.8,41.1
in06_249.dat,12942,12955.7,39.92
in06_250.dat,13497,13514.2,40
in06_251.dat,13673,13689.4,37.2
in06_252.dat,13400,13407.9,38.76
in06_253.dat,14298,14329.5,40.03
in06_254.dat,14121,14136.8,37.55
in06_255.dat,13029,13037.6,35.74
in06_256.dat,14102,14122.3,40.8
in06_257.dat,13464,13480.4,37.8
in06_258.dat,12731,12752.7,42.12
in06_259.dat,13043,13057.7,39.44
in06_260.dat,13391,13421.3,39.7
in06_261.dat,14061,14081.4,42.67
in06_262.dat,13624,13636.7,37.99
in06_263.dat,13243,13257.6,38.63
in06_264.dat,13084,13098.4,39.98
in06_265.dat,13541,13561.2,38.67
in06_266.dat,11908,11921.2,38.82
in06_267.dat,13287,13307.5,41.76
in06_268.dat,13645,13657.1,40.68
in06_269.dat,13137,13155.5,40.25
in06_270.dat,12420,12443.5,38.5
in06_271.dat,14404,14414.4,38.12
in06_272.dat,12715,12725.2,40.85
in06_273.dat,13101,13116.1,39.08
in06_274.dat,13637,13655.3,40.59
in06_275.dat,13348,13358.2,39.82
in06_276.dat,13564,13585.9,38.91
in06_277.dat,13593,13628.8,38.43
in06_278.dat,12952,12974,38.19
in06_279.dat,13305,13311.4,40.46
in06_280.dat,13169,13180.8,39.19
in06_281.dat,11941,11953,36.58
in06_282.dat,12705,12715.1,41.24
in06_283.dat,13849,13861.8,38.95
in06_284.dat,13698,13708.2,39.86
in06_285.dat,13255,13264.5,40.14
in06_286.dat,13492,13516.9,39.81
in06_287.dat,12732,12753.7,40.67
in06_288.dat,12794,12805,40.24
in06_289.dat,12206,12219.6,41.36
in06_290.dat,13025,13038.8,37.51
in06_291.dat,13099,13114.4,41.42
in06_292.dat,12623,12648.4,36.97
in06_293.dat,14051,14063.7,39.83
in06_294.dat,13673,13699,40.16
in06_295.dat,13065,13076.1,36.53
in06_296.dat,11877,11892.3,39.76
in06_297.dat,13550,13572.9,36.13
in06_298.dat,13613,13630.3,38.98
in06_299.dat,14071,14078.9,39.7
in06_300.dat,12664,12687.6,36.64
in06_301.dat,15358,15382.7,61.95
in06_302.dat,16302,16322.2,60.77
in06_303.dat,16621,16633,66.85
in06_304.dat,16524,16538.9,59.91
in06_305.dat,16362,16386.1,63.54
in06_306.dat,14919,14945,58.7
in06_307.dat,14918,14950.4,62.91
in06_308.dat,14628,14649.7,59.27
in06_309.dat,16242,16255,60.23
in06_310.dat,16056,16074.7,59.17
in06_311.dat,15546,15558.6,58.02
in06_312.dat,16148,16161.7,63.43
in06_313.dat,15371,15404.6,59.58
in06_314.dat,16507,16523,63.03
in06_315.dat,17395,17427.3,64.77
in06_316.dat,17010,17047.9,60.5
in06_317.dat,17316,17339.1,58.36
in06_318.dat,15804,15840.4,59.88
in06_319.dat,15018,15031.3,62.54
in06_320.dat,15827,15842.8,63.9
in06_321.dat,16859,16880.7,60.06
in06_322.dat,15848,15862.4,63.31
in06_323.dat,15262,15277.2,61.11
in06_324.dat,15899,15922.6,59.11
in06_325.dat,16394,16412.8,56.41
in06_326.dat,16117,16131.9,59.25
in06_327.dat,15293,15306.8,61.97
in06_328.dat,16089,16111.2,61.29
in06_329.dat,15789,15805.6,58.85
in06_330.dat,15253,15278.3,58.4
in06_331.dat,16254,16268.6,58.92
in06_332.dat,15147,15165.2,58.58
in06_333.dat,15858,15877.3,62.13
in06_334.dat,16413,16434.3,58.16
in06_335.dat,15941,15959.1,58.86
in06_336.dat,14707,14721,59.75
in06_337.dat,15474,15487.3,61.3
in06_338.dat,15942,15962.1,60.27
in06_339.dat,15969,15978.6,59.43
in06_340.dat,13931,13950.8,59.27
in06_341.dat,16397,16419.9,56.16
in06_342.dat,15212,15229.6,61.82
in06_343.dat,15872,15888.9,61.24
in06_344.dat,15485,15500.9,61.41
in06_345.dat,15755,15767.6,59.18
in06_346.dat,15719,15734.1,59.11
in06_347.dat,16274,16280.5,57.96
in06_348.dat,16775,16797.8,62.34
in06_349.dat,14184,14201.3,55
in06_350.dat,15770,15784.1,60.71
in06_351.dat,16108,16128,61.47
in06_352.dat,16167,16176.6,56.02
